ID,TITLE,RELEASE_DATE,IMAGE_URL
1097,Avengers Legends Vol. 2: The Korvac Saga (Trade Paperback),2003-03-26,/i/mg/9/d0/4bc47cf65429e
1098,Avengers Vol. 1: World Trust (Trade Paperback),2003-03-05,/i/mg/6/b0/5863dd6a70a67
14131,Wolverine (1988) #185,2003-03-01,/i/mg/c/60/4c366ba7e9ad2
16045,Hulk/Wolverine: Six Hours (2003) #1,2003-03-01,/i/mg/9/80/4bc369df87a02
17549,Avengers (1998) #63,2003-03-01,/i/mg/a/60/586bcf99c97b0
18684,Thor (1998) #58,2003-03-01,/i/mg/9/90/59d639a207dea
19940,Iron Man (1998) #64,2003-03-01,/i/mg/6/30/5a67a1a43564f
17548,Avengers (1998) #62,2003-02-15,/i/mg/c/50/586bcecc523c4
19939,Iron Man (1998) #63,2003-02-15,/i/mg/f/d0/59bfe76c7c3bb
14130,Wolverine (1988) #184,2003-02-01,/i/mg/4/70/4c366bb794996
17547,Avengers (1998) #61,2003-02-01,/i/mg/2/e0/586bcdf9c3ecd
19843,Marvel Double-Shot (2003) #2,2003-02-01,/i/mg/c/00/5a664dce4a24b
19938,Iron Man (1998) #62,2003-02-01,/i/mg/f/90/59bfe6c4ec16a
1164,Marvel Masterworks: The Silver Surfer Vol. 2 (Hardcover),2003-01-01,/i/mg/5/e0/5e3b021f790a4
1213,Marvel Masterworks: The Avengers Vol. II - 2nd Edition (1st) (Hardcover),2003-01-01,/i/mg/9/90/5852aad7846da
14129,Wolverine (1988) #183,2003-01-01,/i/mg/e/e0/4c366bc6bbaf1
17546,Avengers (1998) #60,2003-01-01,/i/mg/5/80/5863e00a0e13b
19937,Iron Man (1998) #61,2003-01-01,/i/mg/f/c0/59aff9f303dfa
14128,Wolverine (1988) #182,2002-12-01,/i/mg/4/20/4c366c03e8798
17544,Avengers (1998) #59,2002-12-01,/i/mg/f/a0/5863df2fc8abc
19936,Iron Man (1998) #60,2002-12-01,/i/mg/4/04/59aff9571efdc
1033,Avengers Legends Vol. I: Avengers Forever (Trade Paperback),2002-11-27,/i/mg/4/70/6467938b980bf
1079,X-Men Visionaries: Jim Lee (Trade Paperback),2002-11-27,/i/mg/c/00/5910903fcbeac
1038,AVENGERS: THE KANG DYNASTY TPB (Trade Paperback),2002-11-06,/i/mg/a/03/646793107e6a2
15303,Ultimates (2002) #8,2002-11-06,/i/mg/a/80/5a9d6c76758df
14127,Wolverine (1988) #181,2002-11-01,/i/mg/3/60/4c366d609b046
15020,X-Treme X-Men (2001) #18,2002-11-01,/i/mg/c/a0/5c4f5bc6c38e4
17543,Avengers (1998) #58,2002-11-01,/i/mg/7/00/5863de5d71f36
19934,Iron Man (1998) #59,2002-11-01,/i/mg/f/a0/59aff8c6a7c0b
12617,Black Panther (1998) #48,2002-10-08,/i/mg/c/90/597a2f3ba5af8
10500,Paradise X (2002) #5,2002-10-01,/i/mg/c/50/5c9d16042ecee
